scope,stratum,p_w,p_lottery_given_w,var_lottery_given_w,first_stage_pi_w,unconditional_mass,covadj_2sls_mass,n,unconditional_late_weight,covadj_2sls_weight,weight_difference
full_by_household_size,1,0.767838552094178,0.34468432763176193,0.22587704191680213,0.2716909274019651,0.2086147683134493,0.047121286766800954,57528,0.8118644446889879,0.7997499936733272,-0.012114451015660666
full_by_household_size,2,0.2300525880248792,0.5723485727546994,0.24476568402035798,0.20911251838773376,0.048106876043498295,0.011774912420869432,17236,0.18721714920054766,0.19984569141114789,0.012628542210600224
full_by_household_size,3,0.002108859880942847,0.8860759493670886,0.10094536132030127,0.11190476190476192,0.0002359914628674139,2.3822243487657554e-05,158,0.0009184061104644381,0.0004043149155247912,-0.0005140911949396469
survey_by_wave_household_size,1.0 x 1,0.07205504314897772,0.6081128761263355,0.23831160601569165,0.40015110445803975,0.028832905097835145,0.006871215919963116,1728,0.09976551957266032,0.10115252741594515,0.0013870078432848265
survey_by_wave_household_size,1.0 x 2,0.041703945016995765,0.6969554554596613,0.21120854856467736,0.2888213573046863,0.012044990004768724,0.0025440048563832485,998,0.041677197701575935,0.03745079822538679,-0.004226399476189142
survey_by_wave_household_size,1.0 x 3,0.0005429208807507922,0.8104121335757186,0.15364430732897022,0.5321198719279349,0.00028889898953211315,4.438768513470094e-05,14,0.0009996272556264845,0.0006534398845586385,-0.000346187371067846
survey_by_wave_household_size,2.0 x 1,0.07545989857637768,0.6029295486129337,0.23940550802233773,0.3690612491963384,0.027849324432826946,0.006667281663919837,1736,0.09636220534701424,0.09815037093217992,0.0017881655851656741
survey_by_wave_household_size,2.0 x 2,0.03959687811614043,0.7385272592646199,0.1931047465877088,0.2573267429624551,0.010189335677107733,0.001967609083824989,929,0.03525639766362713,0.02896556215286832,-0.006290835510758808
survey_by_wave_household_size,2.0 x 3,0.001209454356276937,0.9198931065345427,0.07368977908477117,0.27616790513574996,0.0003340124759303087,2.4613305562861895e-05,26,0.00115572565760777,0.00036233733515942074,-0.0007933883224483492
survey_by_wave_household_size,3.0 x 1,0.07098683175484792,0.6458977471575084,0.22871384737436376,0.310749905618278,0.02205915126795957,0.005045233356308108,1659,0.0763274696085041,0.07427187725408231,-0.0020555923544217924
survey_by_wave_household_size,3.0 x 2,0.04173931353455159,0.7143142104436563,0.2040694192019122,0.1441244995214051,0.0060156576735342585,0.0012276117675556627,997,0.020814940823166223,0.018071915425192694,-0.0027430253979735288
survey_by_wave_household_size,3.0 x 3,0.0008053129509025014,0.914789886918387,0.0779493497102317,0.3561760126555523,0.0002868331557923295,2.2358457969345662e-05,18,0.0009924792080849374,0.00032914327814263105,-0.0006633359299423064
survey_by_wave_household_size,4.0 x 1,0.09324792516680339,0.43691861533207044,0.2460207389083767,0.30930954861580384,0.02884247364270421,0.007095846677523469,2180,0.09979862795515516,0.1044593611884909,0.00466073323333574
survey_by_wave_household_size,4.0 x 2,0.04678893949095521,0.5500756612388474,0.2474924281514922,0.21762796802652848,0.010182581827532776,0.0025201119013473455,1142,0.03523302848491708,0.0370990653126871,0.0018660368277700207
survey_by_wave_household_size,5.0 x 1,0.09210490964606918,0.4429353772767636,0.2467436288334547,0.3085321870665263,0.028417329212666518,0.007011794931688277,2177,0.09832757414312297,0.10322201882813062,0.004894444685007646
survey_by_wave_household_size,5.0 x 2,0.04975029266721484,0.5170960876161926,0.24970772378821945,0.21311689776692933,0.010602628036233639,0.002647558113101061,1169,0.03668644180256137,0.038975226181249246,0.0022887843786878748
survey_by_wave_household_size,6.0 x 1,0.13435542087043167,0.42770548463591296,0.24477350304827178,0.32146235889924857,0.0431902105239103,0.010571819127329858,3238,0.14944362278964446,0.1556298385278201,0.006186215738175654
survey_by_wave_household_size,6.0 x 2,0.06867238623227323,0.37275879688044256,0.23380967622868754,0.20540332120366572,0.01410553620708981,0.003298010853611698,1620,0.04880694969085676,0.048550669513792936,-0.0002562801770638265
survey_by_wave_household_size,7.0 x 1,0.1653180307388365,0.34649290291902246,0.22643557114577134,0.26902393371727423,0.04447450694375506,0.010070610381235749,3964,0.15388745178212224,0.14825144552999564,-0.005636006252126596
survey_by_wave_household_size,7.0 x 2,0.005662496851594655,0.36534277471639365,0.2318674316789201,0.22787473860652574,0.001290339989917407,0.0002991878194547528,146,0.004464740513752703,0.004404403014317761,-6.0337499434941905e-05
