outcome,label,spec,beta_2SLS,max_abs_EZ_minus_LZ,pi_a_hat_P_D1_given_Z0,first_stage,share_denom_always_taker_side,share_denom_treated_side,contrib_Z0_D1,contrib_Z1_D1
doc_num_mod_12m,"Outpatient visits, last 6m",saturated,1.0827506704379364,6.39320375528385e-08,0.13360712677287623,0.2906420980394292,-0.4616657721799312,1.461665772179931,-1.5741530946997346,4.161036365619627
doc_num_mod_12m,"Outpatient visits, last 6m",numhh_only,1.0308009318899305,3.172644114091128e-08,0.13360712677287623,0.2906420980394292,-0.45243977372953986,1.4524397737295396,-1.5469677706271676,4.07117320815872
doc_num_mod_12m,"Outpatient visits, last 6m",linear_age,1.0358099152875793,0.005604107550932047,0.13360712677287623,0.2906420980394292,-0.4510926392688428,1.4510926392688428,-1.5415561997078218,4.068742873613731
cost_any_oop_12m,Any out-of-pocket spending,saturated,-0.1994443463675766,5.992282514633018e-08,0.13470374558299097,0.29074094611304313,-0.46344165809996,1.4634416580999599,-0.2310435591572846,0.5800498866317264
cost_any_oop_12m,Any out-of-pocket spending,numhh_only,-0.19988756372400268,3.210362309324921e-08,0.13470374558299097,0.29074094611304313,-0.4553744889812727,1.4553744889812728,-0.225640773228069,0.581809067139113
cost_any_oop_12m,Any out-of-pocket spending,linear_age,-0.19758455103196773,0.005104019277931748,0.13470374558299097,0.29074094611304313,-0.45404709628664525,1.4540470962866454,-0.2249496710880722,0.5816451528115033
health_genflip_bin_12m,Good/very good/excellent health,saturated,0.13281536883347153,4.4924673980872853e-08,0.1346124490711652,0.2913545590330736,-0.46221713636531464,1.4622171363653145,-0.2409604008666275,0.8467521588663109
health_genflip_bin_12m,Good/very good/excellent health,numhh_only,0.13336435440966962,3.210350407734097e-08,0.1346124490711652,0.2913545590330736,-0.4542148066817802,1.4542148066817802,-0.23690882857403564,0.8438993634765126
health_genflip_bin_12m,Good/very good/excellent health,linear_age,0.13536764975346793,0.00691480662384053,0.1346124490711652,0.2913545590330736,-0.4525016299801649,1.4525016299801647,-0.23561553328816828,0.8435120732465856
nodep_screen_12m,Negative depression screen,saturated,0.07828708588578694,4.492466942895845e-08,0.1346350604684744,0.29065675510596783,-0.46487104548641095,1.464871045486411,-0.2900256290673487,0.9639198128251942
nodep_screen_12m,Negative depression screen,numhh_only,0.07635853448318546,6.487529868870467e-08,0.1346350604684744,0.29065675510596783,-0.4552858265677346,1.4552858265677344,-0.2839295778162727,0.9615457112498598
nodep_screen_12m,Negative depression screen,linear_age,0.07695296533974195,0.005727925324934602,0.1346350604684744,0.29065675510596783,-0.45381307863449455,1.453813078634495,-0.2828021990202361,0.9608218827227375
